,Date,casos_confirmados_global,muertes_global,COUNTRY_CODE,TOTAL_CASES,CASES_DAILY,TOTAL_RECOVERED,RECOVERED_DAILY,TOTAL_DEATHS,DEATHS_DAILY,PANIC_INDEX,MEDIA_HYPE_INDEX,FAKE_NEWS_INDEX,SENTIMENT_INDEX,INFODEMIC_INDEX,MEDIA_COVERAGE_INDEX,Open,High,Low,Close,Adj Close,Volume
89,2020-04-20,4986352,357560,XX,2472633,71096,646255,22023,173598,5185,5.52,61.16,1.12,-66.41,58.36,79.33,7186.87353515625,7240.29052734375,6835.5029296875,6881.95849609375,6881.95849609375,37747113936
90,2020-04-21,5137680,372288,XX,2549690,77057,680295,34040,180262,6664,4.21,53.99,0.99,-63.53,63.39,79.43,6879.7841796875,6934.5517578125,6834.4423828125,6880.3232421875,6880.3232421875,32589741511
91,2020-04-22,5301718,386344,XX,2628952,79262,709830,29535,186954,6692,3.83,54.26,1.02,-58.89,65.32,80.13,6879.4404296875,7145.86572265625,6867.78173828125,7117.20751953125,7117.20751953125,33249153866
92,2020-04-23,5467144,400314,XX,2708204,79252,738572,28742,194898,7944,3.94,53.04,0.93,-50.5,63.65,79.0,7121.30615234375,7491.78515625,7081.5947265625,7429.724609375,7429.724609375,43500782316
93,2020-04-24,5634186,414112,XX,2810846,102642,793484,54912,201369,6471,3.8,52.84,0.93,-42.9,63.76,79.93,7434.181640625,7574.19580078125,7434.181640625,7550.90087890625,7550.90087890625,34636526286
94,2020-04-25,5800044,425888,XX,2897707,86861,816725,23241,207349,5980,4.14,53.46,0.94,-39.22,64.51,80.73,7550.48291015625,7641.36376953125,7521.67236328125,7569.93603515625,7569.93603515625,32941541447
95,2020-04-26,5940754,434392,XX,2971169,73462,865980,49255,211432,4083,4.49,54.28,1.37,-38.49,61.06,74.92,7570.13916015625,7700.59423828125,7561.40771484375,7679.8671875,7679.8671875,33070154491
96,2020-04-27,6082540,444212,XX,3042517,71348,894329,28349,216296,4864,5.22,57.88,1.76,-37.98,62.6,78.13,7679.4189453125,7795.60107421875,7679.4189453125,7795.60107421875,7795.60107421875,36162144725
97,2020-04-28,6234208,457850,XX,3117530,75013,928961,34632,222559,6263,3.57,51.2,1.11,-34.02,64.0,79.58,7796.97021484375,7814.52734375,7730.806640625,7807.05859375,7807.05859375,33187959921
98,2020-04-29,6389508,471672,XX,3196656,79126,972917,43956,233198,10639,3.55,51.48,0.94,-34.69,64.79,80.74,7806.71240234375,8871.75390625,7786.04931640625,8801.0380859375,8801.0380859375,60201052203
99,2020-04-30,6557096,483762,XX,3260333,63677,1015101,42184,239042,5844,3.44,50.79,0.79,-34.47,65.55,78.5,8797.669921875,9440.650390625,8533.255859375,8658.5537109375,8658.5537109375,66964629541
100,2020-05-01,6733986,494682,XX,3348025,87692,1053579,38478,244607,5565,3.39,49.1,0.77,-34.46,67.17,79.27,8672.7822265625,9048.0234375,8667.763671875,8864.7666015625,8864.7666015625,44068389997
101,2020-05-02,6890584,506382,XX,3430241,82216,1093136,39557,250307,5700,3.55,49.39,0.91,-34.81,65.32,81.52,8869.0576171875,9007.1875,8811.3662109375,8988.5966796875,8988.5966796875,40134388683
102,2020-05-03,7038764,514064,XX,3507232,76991,1125477,32341,254389,4082,4.54,50.75,0.88,-35.01,62.39,76.86,8983.6142578125,9167.78125,8830.9716796875,8897.46875,8897.46875,47101785174
103,2020-05-04,7193152,522964,XX,3582949,75717,1162964,37487,258767,4378,5.65,57.65,1.58,-34.13,61.57,77.25,8895.7451171875,8956.90625,8645.0244140625,8912.654296875,8912.654296875,45718796276
104,2020-05-05,7352710,535162,XX,3662160,79211,1199005,36041,264656,5889,3.56,51.32,0.95,-38.02,65.45,77.92,8912.83203125,9062.4150390625,8856.8271484375,9003.0703125,9003.0703125,43148462663
105,2020-05-06,7534170,548890,XX,3756076,93916,1245699,46694,271435,6779,3.12,49.84,0.69,-32.3,65.44,78.46,9007.44140625,9411.4677734375,8966.7060546875,9268.76171875,9268.76171875,49371886931
106,2020-05-07,7711478,560228,XX,3846517,90441,1285084,39385,277502,6067,3.24,50.05,0.73,-32.29,66.84,78.88,9261.8955078125,9992.6640625,9138.322265625,9951.5185546875,9951.5185546875,61112700562
107,2020-05-08,7892238,572018,XX,3938164,91647,1322256,37172,283181,5679,3.07,47.97,0.59,-29.96,67.67,79.37,9936.162109375,9996.7431640625,9767.1728515625,9842.666015625,9842.666015625,51780748042
108,2020-05-09,8060352,581124,XX,4023362,85198,1375721,53465,287951,4770,3.45,47.69,0.8,-30.44,66.56,77.44,9840.90625,9913.86328125,9580.64453125,9593.896484375,9593.896484375,46566121841
109,2020-05-10,8210598,589216,XX,4100940,77578,1409292,33571,291854,3903,4.94,52.21,0.92,-30.17,63.03,72.71,9591.1689453125,9595.5810546875,8395.107421875,8756.4306640625,8756.4306640625,63325279337
110,2020-05-11,8363168,597004,XX,4175987,75047,1456412,47120,295926,4072,6.18,58.41,0.75,-31.53,65.85,76.58,8755.53515625,9033.470703125,8374.3232421875,8601.7958984375,8601.7958984375,57119858802
